Code (Calculated),Code,Property,Region,"FS Approved
(1=Yes, 0=No)","Project Exec'd as Designed
(1=Full; 0.5=Partial; 0=No)",SCORE (Calculated),"Medallia
(out of 100)","Age of Product
(<7yrs=2, 7-10yrs=1, >10yrs = 0)
(CALCULATED)",Date of Last Reno (MM-YY),Wall Mounted TV,In-Equipment TV,SCORE2 (Calculated),REMOVE,Comments,,,,,,,,,,,,,,,
ABS,ABS,Abu Dhabi,MEA,1,1,1,73,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
AIL,AIL,Anguilla,AME,1,1,1,81,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
ALX,ALX,Alexandria,MEA,1,1,0.5,74.4,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
AMM,AMM,Amman,MEA,1,1,0.5,55.6,0,Jan-00,1,0,0.5,,,,,,,,,,,,,,,,,
ATL,ATL,Atlanta,AME,1,1,0.8,63.5,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
AUS,AUS,Austin,AME,0.5,1,0.6,78.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
BAH,BAH,Bahrain,MEA,1,1,1,74.5,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
BAL,BAL,Bali at Jimbaran,ASP,1,1,0.8,71.8,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
BEI,BEI,Beirut,MEA,1,1,0.5,62.3,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
BEJ,BEJ,Beijing,ASP,1,1,1,78.2,2,Jan-18,1,0,0.5,,,,,,,,,,,,,,,,,
BEV,BEV,Beverly Wilshire,AME,1,1,0.8,64.2,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
BHA,BHA,Bogota Four Seasons,AME,1,1,1,74.3,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
BIH,BIH,Bogota Casa Medina,AME,1,1,1,65.6,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
BKU,BKU,Baku,EUR,1,0.5,0.9,80.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
BLT,BLT,Baltimore,AME,1,1,0.8,83.2,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
BOC,BOC,Bahamas Ocean Club,AME,1,1,0.8,30.1,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
BOP,BOP,Istanbul - Bosphorus,EUR,1,1,0.8,79,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
BOR,BOR,Bora Bora,ASP,1,1,0.8,80.2,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
BOS,BOS,Boston,AME,1,0.5,0.9,79.3,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
BUD,BUD,Budapest,EUR,1,1,1,88.3,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
BUE,BUE,Buenos Aires,AME,1,1,0.8,79.2,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
CAF,CAF,Cairo - First Residence,MEA,1,1,0.5,74,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
CAI,CAI,Cairo - Nile Plaza,MEA,1,1,0.5,58.3,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
CBL,CBL,Casablanca,MEA,1,1,1,59.9,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
CFS,CFS,Chicago,AME,1,1,1,80.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
,CHI,Chiang Mai,ASP,1,0.5,0.45,81.6,0,Jan-00,1,0,0.5,x,,,,,,,,,,,,,,,,
,CHR,Chiang Rai,ASP,1,0.5,0.72,0,1,Jan-10,1,0,0.5,x,,,,,,,,,,,,,,,,
COS,COS,Costa Rica,AME,1,1,1,75.6,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
DAM,DAM,Damascus,MEA,1,1,0.5,0,0,Jan-00,0,0,0,,,,,,,,,,,,,,,,,
DCC,DCC,Dallas,AME,1,0.5,0.9,81.8,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
DEN,DEN,Denver,AME,1,1,1,73.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
DIF,DIF,Dubai at DIFC,MEA,1,1,1,58,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
DJB,DJB,Dubai Jumeirah ,MEA,1,1,1,75.7,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
DOH,DOH,Doha,MEA,1,1,1,73.8,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
FLO,FLO,Florence,EUR,1,1,1,85.4,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
GEN,GEN,Geneva,EUR,1,1,1,83.7,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
GHF,GHF,Grand Hotel Du Cap Ferrat,EUR,1,0.5,0.72,93.1,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
GUA,GUA,Guangzhou,ASP,1,1,1,65.2,2,Jan-18,1,0,0.5,,,,,,,,,,,,,,,,,
HAM,HAM,Hampshire,EUR,1,1,0.5,57,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
HAN,HAN,Hangzhou,ASP,1,1,0.8,77,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
HFS,HFS,Houston Centre,AME,1,1,1,63,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
HKG,HKG,Hong Kong Hotel,ASP,1,1,0.5,73.5,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
IST,IST,Istanbul - Sultanahmet,EUR,1,1,0.5,87.2,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
JAC,JAC,Jackson Hole,AME,1,1,0.8,76.6,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
JBG,JBG,Johannesburg,MEA,1,1,1,64.7,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
JKR,JKR,Jakarta,ASP,1,1,1,75.1,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
KOH,KOH,Koh Samui,ASP,1,0.5,0.9,82.7,2,Jan-18,0,0,0,,,,,,,,,,,,,,,,,
KON,KON,Kona,AME,1,1,0.8,71.7,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
KUW,KUW,Kuwait,MEA,1,1,1,64,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
KYO,KYO,Kyoto,ASP,1,1,1,60.1,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
LAN,LAN,Langkawi,ASP,1,1,0.8,71.1,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
LAX,LAX,Los Angeles,AME,1,1,0.8,81,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
LIS,LIS,Lisbon,EUR,1,1,0.5,71.9,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
LON,LON,London,EUR,1,1,0.8,79.7,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
MAC,MAC,Macau,ASP,1,1,0.8,78.9,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
MAL,MAL,Maldives - Kuda Huraa,ASP,1,0.5,0.72,84.8,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
MAN,MAN,Lanai - Manele,AME,1,1,1,79.5,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
MAR,MAR,Tokyo at Marunouchi,ASP,1,1,0.5,63.1,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
MAS,MAS,Mauritius,MEA,1,1,0.8,58.9,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
MAU,MAU,Maui,AME,1,1,0.8,76.2,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
MEX,MEX,Mexico City,AME,0,0.5,0.08,78.2,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
MFL,MFL,Surf Club,AME,1,1,1,70.3,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
,MIA,Miami,AME,1,1,0.8,71.3,1,Jan-10,1,1,1,x,,,,,,,,,,,,,,,,
MIL,MIL,Milan,EUR,1,1,1,78.1,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
MLG,MLG,Maldives - Landaa Giraavaru,ASP,1,1,1,83,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
MOS,MOS,Moscow,EUR,1,1,1,78,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
MRK,MRK,Marrakech,MEA,1,1,0.8,75.9,1,Jan-10,1,0,0.5,,,,,,,,,,,,,,,,,
MUM,MUM,Mumbai,ASP,1,1,0.5,59.8,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
MVE,MVE,Megeve,EUR,1,1,1,62.1,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
NEV,NEV,Nevis,AME,1,1,0.5,52.8,0,Jan-00,1,0,0.5,,,,,,,,,,,,,,,,,
NMH,NMH,Nam Hai,ASP,1,1,0.8,71,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
NYD,NYD,New York Downtown,AME,1,1,1,82.6,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
NYF,NYF,New York,AME,1,0.5,0.9,71.5,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
OAH,OAH,Ko Olina,AME,1,0.5,0.9,67.9,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
ORL,ORL,Orlando,AME,1,1,1,79.8,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
PAL,PAL,Palo Alto,AME,1,1,0.5,66.1,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
PAR,PAR,Paris,EUR,1,1,1,81.4,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
PBF,PBF,Palm Beach,AME,1,1,0.8,54.8,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
PRG,PRG,Prague,EUR,1,1,1,80.6,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
PUD,PUD,Shanghai Pudong,ASP,1,1,1,64.1,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
PUN,PUN,Punta Mita,AME,1,1,1,78,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
RIY,RIY,Riyadh,MEA,1,1,0.8,53.6,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
RSN,RSN,Singapore (Regent),ASP,0,0,0,0,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
SAB,SAB,Santa Barbara,AME,1,0.5,0.9,66.7,2,Jan-18,0,1,0.5,,,,,,,,,,,,,,,,,
SBT,SBT,"Tanzania, Safari Lodge",MEA,1,0.5,0.72,91.8,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
SCO,SCO,Scottsdale,AME,1,1,1,70.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
SDI,SDI,Seychelles at Desroches Island,MEA,1,1,1,85.7,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
SEW,SEW,Seattle,AME,1,1,0.8,82.5,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
SEY,SEY,Seychelles,MEA,1,1,0.8,63.5,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
,SFR,San Francisco,AME,1,1,0.8,74.8,1,Jan-10,1,1,1,x,,,,,,,,,,,,,,,,
SHA,SHA,Sharm El Sheikh,MEA,1,1,0.5,74.7,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
SHG,SHG,Shanghai Puxi,ASP,0,0.5,0.1,59.4,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
SIN,SIN,Singapore,ASP,1,1,0.5,72.9,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
SKO,SKO,Seoul,ASP,1,1,1,81.7,2,Jan-18,1,0,0.5,,,,,,,,,,,,,,,,,
SPT,SPT,St. Petersburg,EUR,1,0.5,0.72,85.3,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
SSF,SSF,Santa Fe,AME,1,0.5,0.72,69.8,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
STL,STL,St. Louis,AME,1,1,0.8,74,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
SYD,SYD,Sydney,ASP,1,1,0.5,47.8,0,Jan-00,0,1,0.5,,,,,,,,,,,,,,,,,
SZH,SZH,Shenzhen,ASP,1,1,1,75.1,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
TFY,TFY,Toronto,AME,1,1,1,79.3,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
TNJ,TNJ,Tianjin,ASP,1,1,1,74.6,2,Jan-18,1,0,0.5,,,,,,,,,,,,,,,,,
TRI,TRI,London at Ten Trinity,EUR,1,1,1,79.6,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
TSH,TSH,Tunis,MEA,1,1,1,52.6,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
UBU,UBU,Bali at Sayan,ASP,1,1,0.8,87.1,1,Jan-10,0,1,0.5,,,,,,,,,,,,,,,,,
VAI,VAI,Vail,AME,1,1,0.8,75.8,1,Jan-10,1,1,1,,,,,,,,,,,,,,,,,
VCR,VCR,Vancouver,AME,1,1,0.5,65.4,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
VGS,VGS,Las Vegas,AME,0.5,1,0.6,79.7,2,Jan-18,1,1,1,,,,,,,,,,,,,,,,,
WAS,WAS,Washington,AME,0.5,1,0.3,85.2,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
WES,WES,Westlake,AME,1,1,0.5,72.5,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
WHI,WHI,Whistler,AME,1,1,0.5,63.9,0,Jan-00,1,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
